book,book_name,section,office,office_en,job,job_en,count,duty_en
1,Heavenly Offices – Grand Steward,4,膳夫,Chief of Royal Meals,胥,Clerk,12,Supplies food for court.
1,Heavenly Offices – Grand Steward,5,庖人,Kitchen Master,下士,Junior Officer,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,5,庖人,Kitchen Master,中士,Middle Officer,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,5,庖人,Kitchen Master,史,Scribe,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,5,庖人,Kitchen Master,府,Storekeeper,2,Supplies food for court.
1,Heavenly Offices – Grand Steward,5,庖人,Kitchen Master,徒,Laborer,40,Supplies food for court.
1,Heavenly Offices – Grand Steward,5,庖人,Kitchen Master,胥,Clerk,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,5,庖人,Kitchen Master,賈,Merchant,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,6,內饔,Inner Kitchen Steward,下士,Junior Officer,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,6,內饔,Inner Kitchen Steward,中士,Middle Officer,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,6,內饔,Inner Kitchen Steward,史,Scribe,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,6,內饔,Inner Kitchen Steward,府,Storekeeper,2,Supplies food for court.
1,Heavenly Offices – Grand Steward,6,內饔,Inner Kitchen Steward,徒,Laborer,100,Supplies food for court.
1,Heavenly Offices – Grand Steward,6,內饔,Inner Kitchen Steward,胥,Clerk,10,Supplies food for court.
1,Heavenly Offices – Grand Steward,7,外饔,Outer Kitchen Steward,下士,Junior Officer,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,7,外饔,Outer Kitchen Steward,中士,Middle Officer,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,7,外饔,Outer Kitchen Steward,史,Scribe,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,7,外饔,Outer Kitchen Steward,府,Storekeeper,2,Supplies food for court.
1,Heavenly Offices – Grand Steward,7,外饔,Outer Kitchen Steward,徒,Laborer,100,Supplies food for court.
1,Heavenly Offices – Grand Steward,7,外饔,Outer Kitchen Steward,胥,Clerk,10,Supplies food for court.
1,Heavenly Offices – Grand Steward,8,亨人,Cooking Steward,下士,Junior Officer,4,Administers cooking steward.
1,Heavenly Offices – Grand Steward,8,亨人,Cooking Steward,史,Scribe,2,Administers cooking steward.
1,Heavenly Offices – Grand Steward,8,亨人,Cooking Steward,府,Storekeeper,1,Administers cooking steward.
1,Heavenly Offices – Grand Steward,8,亨人,Cooking Steward,徒,Laborer,50,Administers cooking steward.
1,Heavenly Offices – Grand Steward,8,亨人,Cooking Steward,胥,Clerk,5,Administers cooking steward.
1,Heavenly Offices – Grand Steward,9,甸師,Royal Fields Master,下士,Junior Officer,2,Supervises agriculture.
1,Heavenly Offices – Grand Steward,9,甸師,Royal Fields Master,史,Scribe,2,Supervises agriculture.
1,Heavenly Offices – Grand Steward,9,甸師,Royal Fields Master,府,Storekeeper,1,Supervises agriculture.
1,Heavenly Offices – Grand Steward,9,甸師,Royal Fields Master,徒,Laborer,300,Supervises agriculture.
1,Heavenly Offices – Grand Steward,9,甸師,Royal Fields Master,胥,Clerk,30,Supervises agriculture.
1,Heavenly Offices – Grand Steward,10,獸人,Game Officer,下士,Junior Officer,8,Administers game officer.
1,Heavenly Offices – Grand Steward,10,獸人,Game Officer,中士,Middle Officer,4,Administers game officer.
1,Heavenly Offices – Grand Steward,10,獸人,Game Officer,史,Scribe,4,Administers game officer.
1,Heavenly Offices – Grand Steward,10,獸人,Game Officer,府,Storekeeper,2,Administers game officer.
1,Heavenly Offices – Grand Steward,10,獸人,Game Officer,徒,Laborer,40,Administers game officer.
1,Heavenly Offices – Grand Steward,10,獸人,Game Officer,胥,Clerk,4,Administers game officer.
1,Heavenly Offices – Grand Steward,11,漁人,Fishing Officer,下士,Junior Officer,4,Administers fishing officer.
1,Heavenly Offices – Grand Steward,11,漁人,Fishing Officer,中士,Middle Officer,2,Administers fishing officer.
1,Heavenly Offices – Grand Steward,11,漁人,Fishing Officer,史,Scribe,4,Administers fishing officer.
1,Heavenly Offices – Grand Steward,11,漁人,Fishing Officer,府,Storekeeper,2,Administers fishing officer.
1,Heavenly Offices – Grand Steward,11,漁人,Fishing Officer,徒,Laborer,300,Administers fishing officer.
1,Heavenly Offices – Grand Steward,11,漁人,Fishing Officer,胥,Clerk,30,Administers fishing officer.
1,Heavenly Offices – Grand Steward,12,鱉人,Turtle Officer,下士,Junior Officer,4,Administers turtle officer.
1,Heavenly Offices – Grand Steward,12,鱉人,Turtle Officer,史,Scribe,2,Administers turtle officer.
1,Heavenly Offices – Grand Steward,12,鱉人,Turtle Officer,府,Storekeeper,2,Administers turtle officer.
1,Heavenly Offices – Grand Steward,12,鱉人,Turtle Officer,徒,Laborer,16,Administers turtle officer.
1,Heavenly Offices – Grand Steward,13,臘人,Dry Meat Officer,下士,Junior Officer,4,Administers dry meat officer.
1,Heavenly Offices – Grand Steward,13,臘人,Dry Meat Officer,史,Scribe,2,Administers dry meat officer.
1,Heavenly Offices – Grand Steward,13,臘人,Dry Meat Officer,府,Storekeeper,2,Administers dry meat officer.
1,Heavenly Offices – Grand Steward,13,臘人,Dry Meat Officer,徒,Laborer,20,Administers dry meat officer.
1,Heavenly Offices – Grand Steward,14,醫師,Chief Physician,上士,Senior Officer,2,Provides medical care.
1,Heavenly Offices – Grand Steward,14,醫師,Chief Physician,下士,Junior Officer,4,Provides medical care.
1,Heavenly Offices – Grand Steward,14,醫師,Chief Physician,史,Scribe,2,Provides medical care.
1,Heavenly Offices – Grand Steward,14,醫師,Chief Physician,府,Storekeeper,2,Provides medical care.
1,Heavenly Offices – Grand Steward,14,醫師,Chief Physician,徒,Laborer,20,Provides medical care.
1,Heavenly Offices – Grand Steward,15,食醫,Diet Physician,中士,Middle Officer,2,Provides medical care.
1,Heavenly Offices – Grand Steward,16,疾醫,Disease Physician,中士,Middle Officer,8,Provides medical care.
1,Heavenly Offices – Grand Steward,17,瘍醫,Wound Physician,下士,Junior Officer,8,Provides medical care.
1,Heavenly Offices – Grand Steward,18,獸醫,Veterinary Physician,下士,Junior Officer,4,Provides medical care.
1,Heavenly Offices – Grand Steward,19,酒正,Director of Wine,下士,Junior Officer,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,19,酒正,Director of Wine,中士,Middle Officer,4,Supplies food for court.
1,Heavenly Offices – Grand Steward,19,酒正,Director of Wine,史,Scribe,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,19,酒正,Director of Wine,府,Storekeeper,2,Supplies food for court.
1,Heavenly Offices – Grand Steward,19,酒正,Director of Wine,徒,Laborer,80,Supplies food for court.
1,Heavenly Offices – Grand Steward,19,酒正,Director of Wine,胥,Clerk,8,Supplies food for court.
1,Heavenly Offices – Grand Steward,20,酒人,Wine Worker,奄,Palace Servant,10,Supplies food for court.
1,Heavenly Offices – Grand Steward,20,酒人,Wine Worker,奚,Servant,300,Supplies food for court.
1,Heavenly Offices – Grand Steward,20,酒人,Wine Worker,女酒,Female Wine Worker,30,Supplies food for court.
1,Heavenly Offices – Grand Steward,21,漿人,Drinks Worker,奄,Palace Servant,5,Administers drinks worker.
1,Heavenly Offices – Grand Steward,21,漿人,Drinks Worker,奚,Servant,150,Administers drinks worker.
1,Heavenly Offices – Grand Steward,21,漿人,Drinks Worker,女漿,Female Drinks Worker,15,Administers drinks worker.
1,Heavenly Offices – Grand Steward,22,凌人,Ice Officer,下士,Junior Officer,2,Administers ice officer.
1,Heavenly Offices – Grand Steward,22,凌人,Ice Officer,史,Scribe,2,Administers ice officer.
1,Heavenly Offices – Grand Steward,22,凌人,Ice Officer,府,Storekeeper,2,Administers ice officer.
1,Heavenly Offices – Grand Steward,22,凌人,Ice Officer,徒,Laborer,80,Administers ice officer.
1,Heavenly Offices – Grand Steward,22,凌人,Ice Officer,胥,Clerk,8,Administers ice officer.
1,Heavenly Offices – Grand Steward,23,籩人,Basket Offerings Officer,奄,Palace Servant,1,Administers basket offerings officer.
1,Heavenly Offices – Grand Steward,23,籩人,Basket Offerings Officer,奚,Servant,20,Administers basket offerings officer.
1,Heavenly Offices – Grand Steward,23,籩人,Basket Offerings Officer,女籩,Female Basket Offerings Worker,10,Administers basket offerings officer.
1,Heavenly Offices – Grand Steward,24,醢人,Sauce Officer,奄,Palace Servant,1,Administers sauce officer.
1,Heavenly Offices – Grand Steward,24,醢人,Sauce Officer,奚,Servant,40,Administers sauce officer.
1,Heavenly Offices – Grand Steward,24,醢人,Sauce Officer,女醢,Female Sauce Worker,20,Administers sauce officer.
1,Heavenly Offices – Grand Steward,25,醯人,Vinegar Officer,奄,Palace Servant,2,Administers vinegar officer.
1,Heavenly Offices – Grand Steward,25,醯人,Vinegar Officer,奚,Servant,40,Administers vinegar officer.
1,Heavenly Offices – Grand Steward,25,醯人,Vinegar Officer,女醯,Female Vinegar Worker,20,Administers vinegar officer.
1,Heavenly Offices – Grand Steward,26,鹽人,Salt Officer,奄,Palace Servant,2,Administers salt officer.
1,Heavenly Offices – Grand Steward,26,鹽人,Salt Officer,奚,Servant,40,Administers salt officer.
1,Heavenly Offices – Grand Steward,26,鹽人,Salt Officer,女鹽,Female Salt Worker,20,Administers salt officer.
1,Heavenly Offices – Grand Steward,27,冪人,Coverings Officer,奄,Palace Servant,1,Administers coverings officer.
1,Heavenly Offices – Grand Steward,27,冪人,Coverings Officer,奚,Servant,20,Administers coverings officer.
1,Heavenly Offices – Grand Steward,27,冪人,Coverings Officer,女冪,Female Coverings Worker,10,Administers coverings officer.
1,Heavenly Offices – Grand Steward,28,宮人,Palace Attendant,下士,Junior Officer,8,Administers palace attendant.
1,Heavenly Offices – Grand Steward,28,宮人,Palace Attendant,中士,Middle Officer,4,Administers palace attendant.
1,Heavenly Offices – Grand Steward,28,宮人,Palace Attendant,史,Scribe,4,Administers palace attendant.
1,Heavenly Offices – Grand Steward,28,宮人,Palace Attendant,府,Storekeeper,2,Administers palace attendant.
1,Heavenly Offices – Grand Steward,28,宮人,Palace Attendant,徒,Laborer,80,Administers palace attendant.
1,Heavenly Offices – Grand Steward,28,宮人,Palace Attendant,胥,Clerk,8,Administers palace attendant.
1,Heavenly Offices – Grand Steward,29,掌舍,Lodgings Officer,下士,Junior Officer,4,Administers lodgings officer.
1,Heavenly Offices – Grand Steward,29,掌舍,Lodgings Officer,史,Scribe,4,Administers lodgings officer.
1,Heavenly Offices – Grand Steward,29,掌舍,Lodgings Officer,府,Storekeeper,2,Administers lodgings officer.
1,Heavenly Offices – Grand Steward,29,掌舍,Lodgings Officer,徒,Laborer,40,Administers lodgings officer.
1,Heavenly Offices – Grand Steward,30,幕人,Tent Officer,下士,Junior Officer,1,Administers tent officer.
1,Heavenly Offices – Grand Steward,30,幕人,Tent Officer,史,Scribe,2,Administers tent officer.
1,Heavenly Offices – Grand Steward,30,幕人,Tent Officer,府,Storekeeper,2,Administers tent officer.
1,Heavenly Offices – Grand Steward,30,幕人,Tent Officer,徒,Laborer,40,Administers tent officer.
1,Heavenly Offices – Grand Steward,31,掌次,Camp Officer,下士,Junior Officer,4,Administers camp officer.
1,Heavenly Offices – Grand Steward,31,掌次,Camp Officer,史,Scribe,2,Administers camp officer.
1,Heavenly Offices – Grand Steward,31,掌次,Camp Officer,府,Storekeeper,4,Administers camp officer.
1,Heavenly Offices – Grand Steward,31,掌次,Camp Officer,徒,Laborer,80,Administers camp officer.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,上士,Senior Officer,4,Manages state finances.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,下士,Junior Officer,8,Manages state finances.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,下大夫,Lower Grand Officer,2,Manages state finances.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,史,Scribe,8,Manages state finances.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,府,Storekeeper,4,Manages state finances.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,徒,Laborer,80,Manages state finances.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,胥,Clerk,8,Manages state finances.
1,Heavenly Offices – Grand Steward,32,大府,Grand Treasury,賈,Merchant,16,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,上士,Senior Officer,2,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,中士,Middle Officer,4,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,史,Scribe,2,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,工,Artisan,8,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,府,Storekeeper,2,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,徒,Laborer,48,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,胥,Clerk,4,Manages state finances.
1,Heavenly Offices – Grand Steward,33,玉府,Jade Treasury,賈,Merchant,8,Manages state finances.
1,Heavenly Offices – Grand Steward,34,內府,Inner Treasury,中士,Middle Officer,2,Manages state finances.
1,Heavenly Offices – Grand Steward,34,內府,Inner Treasury,史,Scribe,2,Manages state finances.
1,Heavenly Offices – Grand Steward,34,內府,Inner Treasury,府,Storekeeper,1,Manages state finances.
1,Heavenly Offices – Grand Steward,34,內府,Inner Treasury,徒,Laborer,10,Manages state finances.
1,Heavenly Offices – Grand Steward,35,外府,Outer Treasury,中士,Middle Officer,2,Manages state finances.
1,Heavenly Offices – Grand Steward,35,外府,Outer Treasury,史,Scribe,2,Manages state finances.
1,Heavenly Offices – Grand Steward,35,外府,Outer Treasury,府,Storekeeper,1,Manages state finances.
1,Heavenly Offices – Grand Steward,35,外府,Outer Treasury,徒,Laborer,10,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,上士,Senior Officer,8,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,下大夫,Lower Grand Officer,4,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,中士,Middle Officer,16,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,中大夫,Middle Grand Officer,2,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,史,Scribe,8,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,府,Storekeeper,4,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,徒,Laborer,50,Manages state finances.
1,Heavenly Offices – Grand Steward,36,司會,Director of Accounts,胥,Clerk,5,Manages state finances.
1,Heavenly Offices – Grand Steward,37,司書,Director of Documents,上士,Senior Officer,2,Keeps state records.
1,Heavenly Offices – Grand Steward,37,司書,Director of Documents,中士,Middle Officer,4,Keeps state records.
1,Heavenly Offices – Grand Steward,37,司書,Director of Documents,史,Scribe,4,Keeps state records.
1,Heavenly Offices – Grand Steward,37,司書,Director of Documents,府,Storekeeper,2,Keeps state records.
1,Heavenly Offices – Grand Steward,37,司書,Director of Documents,徒,Laborer,8,Keeps state records.
1,Heavenly Offices – Grand Steward,38,職內,Revenue Registrar,上士,Senior Officer,2,Administers revenue registrar.
1,Heavenly Offices – Grand Steward,38,職內,Revenue Registrar,中士,Middle Officer,4,Administers revenue registrar.
1,Heavenly Offices – Grand Steward,38,職內,Revenue Registrar,史,Scribe,4,Administers revenue registrar.
1,Heavenly Offices – Grand Steward,38,職內,Revenue Registrar,府,Storekeeper,4,Administers revenue registrar.
1,Heavenly Offices – Grand Steward,38,職內,Revenue Registrar,徒,Laborer,20,Administers revenue registrar.
1,Heavenly Offices – Grand Steward,39,職歲,Expenditure Registrar,上士,Senior Officer,4,Administers expenditure registrar.
1,Heavenly Offices – Grand Steward,39,職歲,Expenditure Registrar,中士,Middle Officer,8,Administers expenditure registrar.
1,Heavenly Offices – Grand Steward,39,職歲,Expenditure Registrar,史,Scribe,8,Administers expenditure registrar.
1,Heavenly Offices – Grand Steward,39,職歲,Expenditure Registrar,府,Storekeeper,4,Administers expenditure registrar.
1,Heavenly Offices – Grand Steward,39,職歲,Expenditure Registrar,徒,Laborer,20,Administers expenditure registrar.
1,Heavenly Offices – Grand Steward,40,職幣,Currency Registrar,上士,Senior Officer,2,Manages state finances.
1,Heavenly Offices – Grand Steward,40,職幣,Currency Registrar,中士,Middle Officer,4,Manages state finances.
1,Heavenly Offices – Grand Steward,40,職幣,Currency Registrar,史,Scribe,4,Manages state finances.
1,Heavenly Offices – Grand Steward,40,職幣,Currency Registrar,府,Storekeeper,2,Manages state finances.
1,Heavenly Offices – Grand Steward,40,職幣,Currency Registrar,徒,Laborer,20,Manages state finances.
1,Heavenly Offices – Grand Steward,40,職幣,Currency Registrar,胥,Clerk,2,Manages state finances.
1,Heavenly Offices – Grand Steward,40,職幣,Currency Registrar,賈,Merchant,4,Manages state finances.
1,Heavenly Offices – Grand Steward,41,司裘,Director of Furs,下士,Junior Officer,4,Administers director of furs.
1,Heavenly Offices – Grand Steward,41,司裘,Director of Furs,中士,Middle Officer,2,Administers director of furs.
1,Heavenly Offices – Grand Steward,41,司裘,Director of Furs,史,Scribe,4,Administers director of furs.
1,Heavenly Offices – Grand Steward,41,司裘,Director of Furs,府,Storekeeper,2,Administers director of furs.
1,Heavenly Offices – Grand Steward,41,司裘,Director of Furs,徒,Laborer,40,Administers director of furs.
1,Heavenly Offices – Grand Steward,42,掌皮,Hides Officer,下士,Junior Officer,4,Administers hides officer.
1,Heavenly Offices – Grand Steward,42,掌皮,Hides Officer,史,Scribe,4,Administers hides officer.
1,Heavenly Offices – Grand Steward,42,掌皮,Hides Officer,府,Storekeeper,2,Administers hides officer.
1,Heavenly Offices – Grand Steward,42,掌皮,Hides Officer,徒,Laborer,40,Administers hides officer.
1,Heavenly Offices – Grand Steward,43,內宰,Inner Steward,上士,Senior Officer,4,Administers inner steward.
1,Heavenly Offices – Grand Steward,43,內宰,Inner Steward,下大夫,Lower Grand Officer,2,Administers inner steward.
1,Heavenly Offices – Grand Steward,43,內宰,Inner Steward,中士,Middle Officer,8,Administers inner steward.
1,Heavenly Offices – Grand Steward,43,內宰,Inner Steward,史,Scribe,8,Administers inner steward.
1,Heavenly Offices – Grand Steward,43,內宰,Inner Steward,府,Storekeeper,4,Administers inner steward.
1,Heavenly Offices – Grand Steward,43,內宰,Inner Steward,徒,Laborer,80,Administers inner steward.
1,Heavenly Offices – Grand Steward,43,內宰,Inner Steward,胥,Clerk,8,Administers inner steward.
1,Heavenly Offices – Grand Steward,43,內小臣,Inner Retainer,上士,Senior Officer,4,Administers inner retainer.
1,Heavenly Offices – Grand Steward,43,內小臣,Inner Retainer,史,Scribe,2,Administers inner retainer.
1,Heavenly Offices – Grand Steward,43,內小臣,Inner Retainer,徒,Laborer,8,Administers inner retainer.
1,Heavenly Offices – Grand Steward,49,典婦功,Director of Women's Work,下士,Junior Officer,4,Administers director of women's work.
1,Heavenly Offices – Grand Steward,49,典婦功,Director of Women's Work,中士,Middle Officer,2,Administers director of women's work.
1,Heavenly Offices – Grand Steward,49,典婦功,Director of Women's Work,史,Scribe,4,Administers director of women's work.
1,Heavenly Offices – Grand Steward,49,典婦功,Director of Women's Work,工,Artisan,4,Administers director of women's work.
1,Heavenly Offices – Grand Steward,49,典婦功,Director of Women's Work,府,Storekeeper,2,Administers director of women's work.
1,Heavenly Offices – Grand Steward,49,典婦功,Director of Women's Work,徒,Laborer,20,Administers director of women's work.
1,Heavenly Offices – Grand Steward,49,典婦功,Director of Women's Work,賈,Merchant,4,Administers director of women's work.
1,Heavenly Offices – Grand Steward,49,典絲,Director of Silk,下士,Junior Officer,2,Administers director of silk.
1,Heavenly Offices – Grand Steward,49,典絲,Director of Silk,史,Scribe,2,Administers director of silk.
1,Heavenly Offices – Grand Steward,49,典絲,Director of Silk,府,Storekeeper,2,Administers director of silk.
1,Heavenly Offices – Grand Steward,49,典絲,Director of Silk,徒,Laborer,12,Administers director of silk.
1,Heavenly Offices – Grand Steward,49,典絲,Director of Silk,賈,Merchant,4,Administers director of silk.
1,Heavenly Offices – Grand Steward,50,內司服,Director of Inner Robes,奄,Palace Servant,1,Administers director of inner robes.
1,Heavenly Offices – Grand Steward,50,內司服,Director of Inner Robes,奚,Servant,8,Administers director of inner robes.
1,Heavenly Offices – Grand Steward,50,內司服,Director of Inner Robes,女御,Lady Attendant,2,Administers director of inner robes.
1,Heavenly Offices – Grand Steward,50,典枲,Director of Hemp,下士,Junior Officer,2,Administers director of hemp.
1,Heavenly Offices – Grand Steward,50,典枲,Director of Hemp,史,Scribe,2,Administers director of hemp.
1,Heavenly Offices – Grand Steward,50,典枲,Director of Hemp,府,Storekeeper,2,Administers director of hemp.
1,Heavenly Offices – Grand Steward,50,典枲,Director of Hemp,徒,Laborer,20,Administers director of hemp.
1,Heavenly Offices – Grand Steward,51,縫人,Seamstress Officer,奄,Palace Servant,2,Administers seamstress officer.
1,Heavenly Offices – Grand Steward,51,縫人,Seamstress Officer,奚,Servant,30,Administers seamstress officer.
1,Heavenly Offices – Grand Steward,51,縫人,Seamstress Officer,女工,Female Artisan,80,Administers seamstress officer.
1,Heavenly Offices – Grand Steward,51,縫人,Seamstress Officer,女御,Lady Attendant,8,Administers seamstress officer.
1,Heavenly Offices – Grand Steward,52,染人,Dyeing Officer,下士,Junior Officer,2,Administers dyeing officer.
1,Heavenly Offices – Grand Steward,52,染人,Dyeing Officer,史,Scribe,2,Administers dyeing officer.
1,Heavenly Offices – Grand Steward,52,染人,Dyeing Officer,府,Storekeeper,2,Administers dyeing officer.
1,Heavenly Offices – Grand Steward,52,染人,Dyeing Officer,徒,Laborer,20,Administers dyeing officer.
1,Heavenly Offices – Grand Steward,53,追師,Headgear Master,下士,Junior Officer,2,Administers headgear master.
1,Heavenly Offices – Grand Steward,53,追師,Headgear Master,史,Scribe,2,Administers headgear master.
1,Heavenly Offices – Grand Steward,53,追師,Headgear Master,工,Artisan,2,Administers headgear master.
1,Heavenly Offices – Grand Steward,53,追師,Headgear Master,府,Storekeeper,1,Administers headgear master.
1,Heavenly Offices – Grand Steward,53,追師,Headgear Master,徒,Laborer,4,Administers headgear master.
1,Heavenly Offices – Grand Steward,54,屨人,Footwear Officer,下士,Junior Officer,2,Administers footwear officer.
1,Heavenly Offices – Grand Steward,54,屨人,Footwear Officer,史,Scribe,1,Administers footwear officer.
1,Heavenly Offices – Grand Steward,54,屨人,Footwear Officer,工,Artisan,8,Administers footwear officer.
1,Heavenly Offices – Grand Steward,54,屨人,Footwear Officer,府,Storekeeper,1,Administers footwear officer.
1,Heavenly Offices – Grand Steward,54,屨人,Footwear Officer,徒,Laborer,4,Administers footwear officer.
1,Heavenly Offices – Grand Steward,55,夏采,Summer Gatherer,下士,Junior Officer,4,Administers summer gatherer.
1,Heavenly Offices – Grand Steward,55,夏采,Summer Gatherer,史,Scribe,1,Administers summer gatherer.
1,Heavenly Offices – Grand Steward,55,夏采,Summer Gatherer,徒,Laborer,4,Administers summer gatherer.
2,Earth Offices – Situ (Minister of Land and People),1,大司徒,Grand Situ,卿,Minister,1,Administers grand situ.
2,Earth Offices – Situ (Minister of Land and People),1,小司徒,Assistant Situ,中大夫,Middle Grand Officer,2,Administers assistant situ.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,上士,Senior Officer,8,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,下大夫,Lower Grand Officer,4,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,中士,Middle Officer,16,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,史,Scribe,12,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,府,Storekeeper,6,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,徒,Laborer,120,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,旅下士,Retinue Junior Officer,32,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),1,鄉師,District Master,胥,Clerk,12,Administers district master.
2,Earth Offices – Situ (Minister of Land and People),2,州長,Prefect,中大夫,Middle Grand Officer,1,Administers prefect.
2,Earth Offices – Situ (Minister of Land and People),2,族師,Clan Master,上士,Senior Officer,1,Administers clan master.
2,Earth Offices – Situ (Minister of Land and People),2,比長,Mutual-Aid Group Chief,下士,Junior Officer,1,Administers mutual-aid group chief.
